GridID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3784,457151.0,5.612542E7,1213164.0,1427769.0,1776092.0,1474896.0,6888771.0,6877947.0,1.0374652E7,4730532.0,1.3244175E7,6.5579728E7,2.5147859E7,1.4910968E7,8929555.0,4982146.0,3810491.0,1.3195793E7,7953172.0,186317.0,185715.0,371888.0,174660.0,473203.0,529144.0,257611.0,544674.0,1564150.0,201161.0,28651.0,114596.0,1201143.0,71644.0,530832.0,300295.0,444206.0
3785,542453.0,2.8011644E7,1030799.0,1146001.0,2075028.0,2287358.0,2.2988572E7,1.1315468E7,2.6296172E7,2259017.0,3933872.0,4.548406E7,1.2123981E7,2.8442322E7,3157316.0,9663992.0,5678504.0,1.5908882E7,9167080.0,285860.0,714154.0,558179.0,1939945.0,6072220.0,1434463.0,257876.0,1402366.0,5998610.0,414529.0,,114603.0,143128.0,186238.0,200705.0,157599.0,157349.0
3786,428924.0,7.8268726E7,1679145.0,1765089.0,2103019.0,3150544.0,3.0539587E7,8524162.0,2.5518332E7,7391225.0,5768402.0,2.3407277E7,7004018.0,2.6421019E7,1609353.0,1.0515117E7,3970728.0,5212570.0,4698594.0,814023.0,998974.0,8304812.0,2770645.0,986004.0,5742213.0,420037.0,671819.0,673361.0,257914.0,,1003240.0,276722.0,114692.0,344004.0,286499.0,42902.0
3787,1080427.0,1.08841347E8,5079154.0,5137900.0,7404908.0,7989285.0,1.13809031E8,1.165277E7,1.5229109E7,1.0190885E7,4.1172831E7,3.8293962E7,2.8240192E7,1.14970106E8,5038093.0,4697720.0,6552917.0,2883329.0,5009838.0,1058593.0,1279801.0,5196140.0,630132.0,501056.0,7328082.0,510598.0,472110.0,1580899.0,286901.0,200282.0,371948.0,882311.0,873581.0,558110.0,557794.0,472083.0
3788,668086.0,1.50141537E8,3211109.0,5058790.0,6817889.0,5384663.0,7163108.0,8613520.0,1.1895825E7,1.1603471E7,3.1143631E7,4.5173597E7,1.0739171E7,5.6653248E7,1340590.0,2064024.0,958567.0,901320.0,1153591.0,887243.0,1068765.0,1074351.0,1745082.0,586069.0,6044094.0,1146576.0,670792.0,1168820.0,429650.0,257346.0,814894.0,772836.0,728479.0,128681.0,1186238.0,1431141.0
3789,2025780.0,2.10905657E8,2.0293179E7,8628731.0,7451273.0,1.1083512E7,1.3586815E7,3.8839266E7,1.5501505E7,3.1577052E7,2.0029795E7,2.1415581E7,4.7139308E7,2.0706679E7,1.3179562E7,1.44058E7,9988160.0,9109488.0,1.4229702E7,1.3101457E7,6004933.0,7977369.0,5774162.0,6187530.0,6255369.0,6712824.0,6559295.0,7136483.0,5489746.0,1049994.0,1975574.0,325997.0,283526.0,99308.0,3184988.0,806201.0
3790,2168693.0,1.67902499E8,9.7745781E7,2.2715553E7,1.7327711E7,1.7997998E7,3.523129E7,5.3945292E7,1.7095102E7,1.9123731E7,2.5900217E7,2.849384E7,3.436374E7,2.8021127E7,1.8795146E7,2.2587254E7,1.402438E7,9943329.0,1.2616628E7,6274778.0,6205066.0,7806484.0,6454191.0,4677239.0,6155563.0,5216635.0,6921583.0,6411618.0,7793210.0,4512037.0,4427726.0,1020565.0,579954.0,608351.0,3856862.0,1.054585E7
3791,1970802.0,1.93693397E8,1.21415682E8,1.3695026E7,1.4041664E7,1.5767538E7,3.7315341E7,2.1042008E7,2.33082E7,2.380533E7,2.0583785E7,2.5832279E7,1.9986394E7,1.6260097E7,1.2778857E7,1.8684609E7,6708650.0,6440896.0,9424108.0,7977030.0,2277803.0,4859911.0,4449441.0,4553807.0,3537198.0,8185371.0,1.3218653E7,5078083.0,2.2102388E7,9581269.0,3881728.0,6177602.0,1132905.0,1865693.0,5358931.0,2419722.0
3792,3834434.0,1.10871623E8,5.5760707E7,9625096.0,1.1834301E7,1.3371169E7,1.9633995E7,1.7619036E7,1.5697529E7,1.6758155E7,1.8846293E7,1.7755474E7,1.5250583E7,1.1687972E7,1.1746563E7,1.387031E7,7209586.0,1.4443313E7,1.58405058E8,7879514.0,1896286.0,2454272.0,3003348.0,2434493.0,5.0986451E7,1.3627105E7,1.0135568E7,3376599.0,1.4854069E7,5543245.0,2827349.0,4.1915289E7,5528665.0,4141661.0,4086705.0,4336554.0
3793,4243827.0,3.2730949E7,2.1469057E7,3.6022608E7,1.0521269E7,1.7384455E7,2.0323271E7,3.0530913E7,2.8954381E7,4.157665E7,6.0411676E7,3.2900087E7,3.1921802E7,2.9687984E7,2.9741988E7,3.6857189E7,9153200.0,3.5107482E7,3.7297714E7,1.1102413E7,3223170.0,5828277.0,4193212.0,8660207.0,1.1608469E7,7797690.0,1.1548606E7,5354932.0,3.3710064E7,7359479.0,9577959.0,8898526.0,3157287.0,1752019.0,5034156.0,2805465.0
3794,3008101.0,1.57458384E8,2.9208349E7,2.5953672E7,2.3621582E7,4.4426382E7,2.9866692E7,4.2233414E7,2.0527037E7,2.9827196E7,3.3416726E7,2.2435741E7,2.0775715E7,4.3672637E7,3.6210273E7,3.3221798E7,1.1299977E7,2.22239E7,2.1912608E7,1.1693137E7,5933521.0,1.0116467E7,1.0216276E7,8528160.0,7025542.0,1.2728994E7,1.7755753E7,4681080.0,4412748.0,2376122.0,3121906.0,608094.0,494933.0,367774.0,6048295.0,735005.0
3795,4230670.0,1.37495465E8,3.4578164E7,2.4642259E7,1.7853956E7,4.5695217E7,3.0189772E7,5.3236147E7,2.2413929E7,2.6616401E7,5.0226208E7,3.5398813E7,3.9161513E7,5.2631169E7,3.1494948E7,3.1850829E7,1.4132104E7,2.5084402E7,5.7323534E7,8585361.0,4714827.0,5277381.0,4480235.0,5898506.0,5185004.0,8727690.0,8761555.0,7360863.0,2653712.0,3251884.0,2160083.0,540771.0,437832.0,408537.0,4328264.0,1498149.0
3796,3865784.0,6.8265153E7,1.9986156E7,9755199.0,1.4065241E7,4.1912438E7,3.7952227E7,7.3091611E7,2.4142906E7,2.961144E7,5.0254351E7,3.4181903E7,3.2374226E7,7.0298011E7,3.534313E7,3.3383602E7,1.2349872E7,2.0366813E7,5.234407E7,7832919.0,5065387.0,7962512.0,3683858.0,4280859.0,3140380.0,1.7794808E7,1.058224E7,1.2189947E7,3954389.0,4429473.0,552068.0,1827772.0,975704.0,1159501.0,820999.0,1825451.0
3797,2127562.0,1.22972538E8,1.7276066E7,8723310.0,1.0755689E7,1.5587548E7,2.4537345E7,4.6478016E7,3.5419245E7,1.3135941E7,1.9773663E7,3.2347414E7,2.2565247E7,4.3795623E7,1.5666869E7,1.9418246E7,1.3256159E7,4.0717508E7,4.1902651E7,6876871.0,1.0709302E7,1.6355089E7,5204089.0,1896027.0,1672968.0,2572247.0,1.5781447E7,1.824595E7,4863140.0,4351103.0,353689.0,2062476.0,538912.0,851127.0,1699248.0,1404975.0
3798,3452932.0,9.3050946E7,1.2209384E7,9690870.0,9415550.0,1.3665379E7,1.9564303E7,3.3486407E7,5.6046739E7,1.9728216E7,3.0957825E7,4.5862286E7,3.4457368E7,4.2037958E7,2.0833274E7,7.5398933E7,2.7681948E7,4.3105874E7,2.3331143E7,3719083.0,5107155.0,2.6012742E7,1584701.0,1019010.0,850221.0,2054544.0,6051127.0,5637747.0,3699148.0,2298589.0,536559.0,3028059.0,564480.0,767504.0,2587716.0,2651225.0
3799,2872711.0,8.3395021E7,3732557.0,5159941.0,5285875.0,5690990.0,6166273.0,1.1611075E7,2.0298302E7,6996944.0,1.4895384E7,3.6001591E7,1.540009E7,1.6217601E7,1.8166894E7,2.5229667E7,1.6879907E7,6.6268684E7,4.7503137E7,4610340.0,6298336.0,3.2017333E7,1286074.0,650613.0,3218750.0,1428545.0,3098679.0,6534484.0,2486607.0,1184161.0,847417.0,6249744.0,876360.0,593809.0,5200117.0,2553856.0
